binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
cvtsudoers.strace,strace_logs/cvtsudoers.strace.log,16.0,45.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029040098190307617,2927.9873484232735,0.0,0.0
dash.strace,strace_logs/dash.strace.log,6.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013035058975219727,2455.9179302397893,0.0,0.0
date.strace,strace_logs/date.strace.log,8.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009302139282226562,4623.592577404142,0.0,0.0
dawg2wordlist.strace,strace_logs/dawg2wordlist.strace.log,33.0,88.0,0.0,0.0,0.0,0.0,165.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04891777038574219,5867.9885756618705,0.0,0.0
dbus-cleanup-sockets.strace,strace_logs/dbus-cleanup-sockets.strace.log,6.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009918928146362305,3428.7897267024014,0.0,0.0
dbus-daemon.strace,strace_logs/dbus-daemon.strace.log,23.0,55.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03558707237243652,5171.416888311236,0.0,0.0
dbus-monitor.strace,strace_logs/dbus-monitor.strace.log,14.0,31.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.030752182006835938,3773.090057681573,0.0,0.0
dbus-run-session.strace,strace_logs/dbus-run-session.strace.log,14.0,31.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02760910987854004,4202.511765874216,0.0,0.0
dbus-send.strace,strace_logs/dbus-send.strace.log,14.0,31.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018786907196044922,6175.512855656235,0.0,0.0
dbus-update-activation-environment.strace,strace_logs/dbus-update-activation-environment.strace.log,14.0,31.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05762815475463867,2013.9049853129784,0.0,0.0
dbus-uuidgen.strace,strace_logs/dbus-uuidgen.strace.log,15.0,34.0,0.0,0.0,0.0,0.0,64.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02122187614440918,5655.5424722787075,0.0,0.0
dd.strace,strace_logs/dd.strace.log,11.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.019700050354003906,2488.3032870213488,0.0,0.0
delpart.strace,strace_logs/delpart.strace.log,11.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009938955307006836,4629.253028522081,0.0,0.0
delv.strace,strace_logs/delv.strace.log,85.0,130.0,17.0,9.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15497803688049316,3498.2697480866123,0.0,0.11564625850340136
